   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, merge_cmp, merge_swaps, merge_time, selection_cmp, selection_swaps, selection_time
 561,              ,                ,               ,      5733,        3166,       3695,      4395,           0,       3876,              ,                ,               
 562,              ,                ,               ,      5851,        3387,       3750,      4417,           0,       3123,              ,                ,               
 563,              ,                ,               ,      5401,        2932,       3513,      4430,           0,       3207,              ,                ,               
 564,              ,                ,               ,      5507,        2801,       4009,      4434,           0,       3190,              ,                ,               
 565,              ,                ,               ,      5654,        2610,       3654,      4444,           0,      10446,              ,                ,               
 566,              ,                ,               ,      6556,        3108,       8310,      4463,           0,      11197,              ,                ,               
 567,              ,                ,               ,      5657,        3150,      10046,      4475,           0,       5099,              ,                ,               
 568,              ,                ,               ,      5719,        3706,       3728,      4470,           0,       4450,              ,                ,               
 569,              ,                ,               ,      5786,        3330,       3598,      4480,           0,       3340,              ,                ,               
 570,              ,                ,               ,      5164,        2817,       3347,      4511,           0,       3586,              ,                ,               
 571,              ,                ,               ,      5244,        2699,       3142,      4539,           0,       3197,              ,                ,               
 572,              ,                ,               ,      5600,        3115,       3416,      4538,           0,       3185,              ,                ,               
 573,              ,                ,               ,      5428,        3286,       4275,      4556,           0,       3207,              ,                ,               
 574,              ,                ,               ,      5967,        3471,       3789,      4547,           0,       3225,              ,                ,               
 575,              ,                ,               ,      5611,        3385,       4526,      4548,           0,       3217,              ,                ,               
 576,              ,                ,               ,      5327,        3002,       3322,      4559,           0,       3301,              ,                ,               
 577,              ,                ,               ,      5948,        3196,       4369,      4561,           0,       3288,              ,                ,               
 578,              ,                ,               ,      5459,        2733,       3231,      4578,           0,       3248,              ,                ,               
 579,              ,                ,               ,      6080,        3382,       3880,      4598,           0,       3852,              ,                ,               
 580,              ,                ,               ,      5258,        2902,       3227,      4599,           0,       3288,              ,                ,               
 581,              ,                ,               ,      5523,        3506,       3629,      4616,           0,       4316,              ,                ,               
 582,              ,                ,               ,      6020,        3231,       3644,      4618,           0,       3250,              ,                ,               
 583,              ,                ,               ,      5177,        2960,       3252,      4641,           0,       4191,              ,                ,               
 584,              ,                ,               ,      6044,        3423,       3709,      4656,           0,       3273,              ,                ,               
 585,              ,                ,               ,      5333,        3214,       3400,      4660,           0,       3483,              ,                ,               
 586,              ,                ,               ,      6012,        2907,       4033,      4677,           0,       3307,              ,                ,               
 587,              ,                ,               ,      6291,        3229,       3760,      4661,           0,       3283,              ,                ,               
 588,              ,                ,               ,      5616,        2824,       4284,      4679,           0,       3297,              ,                ,               
 589,              ,                ,               ,      5628,        3363,       3576,      4698,           0,       3356,              ,                ,               
 590,              ,                ,               ,      6233,        3494,       4538,      4690,           0,       3311,              ,                ,               
 591,              ,                ,               ,      6286,        3441,       3803,      4695,           0,       3331,              ,                ,               
 592,              ,                ,               ,      6362,        3080,       4467,      4702,           0,       3337,              ,                ,               
 593,              ,                ,               ,      6715,        3424,       3980,      4719,           0,       3353,              ,                ,               
 594,              ,                ,               ,      6452,        3153,       4367,      4717,           0,       3326,              ,                ,               
 595,              ,                ,               ,      6299,        3302,       3717,      4727,           0,       3375,              ,                ,               
 596,              ,                ,               ,      6413,        3475,       4408,      4734,           0,       3409,              ,                ,               
 597,              ,                ,               ,      5862,        2805,       3435,      4739,           0,       3476,              ,                ,               
 598,              ,                ,               ,      6030,        3325,       3722,      4773,           0,       4153,              ,                ,               
 599,              ,                ,               ,      6049,        3025,       3569,      4785,           0,       3367,              ,                ,               
 600,              ,                ,               ,      5810,        3451,       3724,      4784,           0,       4216,              ,                ,               
 601,              ,                ,               ,      6026,        3719,       4329,      4802,           0,       3397,              ,                ,               
 602,              ,                ,               ,      6518,        3349,       3934,      4790,           0,       4078,              ,                ,               
 603,              ,                ,               ,      6145,        3134,       3983,      4826,           0,       3445,              ,                ,               
 604,              ,                ,               ,      5895,        3027,       3863,      4820,           0,       4216,              ,                ,               
 605,              ,                ,               ,      6310,        3145,       4091,      4825,           0,       3405,              ,                ,               
 606,              ,                ,               ,      6046,        3248,       4137,      4851,           0,       4110,              ,                ,               
 607,              ,                ,               ,      6154,        3537,       3901,      4868,           0,       3746,              ,                ,               
 608,              ,                ,               ,      5904,        3386,       3710,      4877,           0,       4333,              ,                ,               
 609,              ,                ,               ,      6341,        3436,       3822,      4886,           0,       3962,              ,                ,               
 610,              ,                ,               ,      5696,        3537,       4417,      4892,           0,       4526,              ,                ,               
 611,              ,                ,               ,      5788,        3265,       3822,      4893,           0,       3549,              ,                ,               
 612,              ,                ,               ,      5986,        3241,       5214,      4914,           0,       3679,              ,                ,               
 613,              ,                ,               ,      6485,        3106,       4595,      4923,           0,       3601,              ,                ,               
 614,              ,                ,               ,      6068,        3644,       6136,      4933,           0,       5666,              ,                ,               
 615,              ,                ,               ,      6063,        3546,       4709,      4924,           0,       7276,              ,                ,               
 616,              ,                ,               ,      5943,        2805,       5587,      4914,           0,       4951,              ,                ,               
 617,              ,                ,               ,      6134,        3179,       6345,      4937,           0,       4930,              ,                ,               
 618,              ,                ,               ,      6382,        3728,       5800,      4954,           0,       4996,              ,                ,               
 619,              ,                ,               ,      5842,        3469,       6901,      4984,           0,       6323,              ,                ,               
 620,              ,                ,               ,      6496,        4112,       5697,      4983,           0,       4163,              ,                ,               
 621,              ,                ,               ,      6040,        3373,       6447,      4981,           0,       4412,              ,                ,               
 622,              ,                ,               ,      6244,        4108,       7754,      4993,           0,       4632,              ,                ,               
 623,              ,                ,               ,      6097,        3416,       3766,      5010,           0,       6944,              ,                ,               
 624,              ,                ,               ,      5734,        3282,       4034,      5024,           0,       3532,              ,                ,               
 625,              ,                ,               ,      6167,        3451,       6858,      5031,           0,       3716,              ,                ,               
 626,              ,                ,               ,      6653,        3294,       3961,      5031,           0,       5573,              ,                ,               
 627,              ,                ,               ,      6371,        3515,       5295,      5039,           0,       3575,              ,                ,               
 628,              ,                ,               ,      6452,        3390,       4393,      5045,           0,       4908,              ,                ,               
 629,              ,                ,               ,      5759,        3032,       3529,      5070,           0,       3556,              ,                ,               
 630,              ,                ,               ,      6366,        3480,       5103,      5077,           0,       3654,              ,                ,               
 631,              ,                ,               ,      6268,        3367,       3805,      5075,           0,       3681,              ,                ,               
 632,              ,                ,               ,      6371,        3718,       4900,      5095,           0,       3582,              ,                ,               
 633,              ,                ,               ,      6216,        3529,       3831,      5103,           0,       3591,              ,                ,               
 634,              ,                ,               ,      6585,        3360,       4335,      5105,           0,       3959,              ,                ,               
 635,              ,                ,               ,      5827,        3473,       3719,      5118,           0,       3578,              ,                ,               
 636,              ,                ,               ,      6678,        3562,       4806,      5134,           0,       3632,              ,                ,               
 637,              ,                ,               ,      6590,        3750,       4142,      5140,           0,       3804,              ,                ,               
 638,              ,                ,               ,      6562,        3818,       4702,      5165,           0,       3620,              ,                ,               
 639,              ,                ,               ,      6402,        3433,       3881,      5167,           0,       4081,              ,                ,               
 640,              ,                ,               ,      6543,        4137,       4368,      5179,           0,       3641,              ,                ,               
 641,              ,                ,               ,      6473,        4125,       4156,      5188,           0,       4532,              ,                ,               
 642,              ,                ,               ,      6861,        3941,       4281,      5202,           0,       3681,              ,                ,               
 643,              ,                ,               ,      6124,        3339,       3719,      5209,           0,       4377,              ,                ,               
 644,              ,                ,               ,      6717,        4088,       4591,      5214,           0,       3663,              ,                ,               
 645,              ,                ,               ,      6457,        4086,       4951,      5225,           0,       4161,              ,                ,               
 646,              ,                ,               ,      6364,        3872,       4407,      5219,           0,       3663,              ,                ,               
 647,              ,                ,               ,      7623,        3940,       6777,      5236,           0,       4083,              ,                ,               
 648,              ,                ,               ,      6932,        3693,       4173,      5244,           0,       4508,              ,                ,               
 649,              ,                ,               ,      6554,        3584,       4395,      5263,           0,       3689,              ,                ,               
 650,              ,                ,               ,      7094,        4424,       4955,      5261,           0,       4561,              ,                ,               
 651,              ,                ,               ,      6412,        3328,       4149,      5286,           0,       3705,              ,                ,               
 652,              ,                ,               ,      6631,        3493,       4595,      5289,           0,       4695,              ,                ,               
 653,              ,                ,               ,      6578,        3357,       3920,      5285,           0,       4239,              ,                ,               
 654,              ,                ,               ,      6441,        4006,       6636,      5301,           0,       3741,              ,                ,               
 655,              ,                ,               ,      6302,        3855,       4766,      5319,           0,       5629,              ,                ,               
 656,              ,                ,               ,      6544,        3335,       3988,      5332,           0,       4399,              ,                ,               
 657,              ,                ,               ,      6315,        3544,       4374,      5342,           0,       3998,              ,                ,               
 658,              ,                ,               ,      6150,        3720,       4457,      5342,           0,       3792,              ,                ,               
 659,              ,                ,               ,      6587,        4028,       6290,      5335,           0,       4405,              ,                ,               
 660,              ,                ,               ,      6755,        4143,       4305,      5346,           0,       5851,              ,                ,               
 661,              ,                ,               ,      6877,        4668,       5697,      5349,           0,       3758,              ,                ,               
 662,              ,                ,               ,      6956,        4639,       5971,      5363,           0,       4447,              ,                ,               
 663,              ,                ,               ,      7206,        3902,       4436,      5388,           0,       5712,              ,                ,               
 664,              ,                ,               ,      7293,        4239,       5211,      5392,           0,       9592,              ,                ,               
 665,              ,                ,               ,      6902,        3952,       8575,      5416,           0,       6122,              ,                ,               
 666,              ,                ,               ,      7321,        3769,       5473,      5411,           0,       3913,              ,                ,               
 667,              ,                ,               ,      7202,        4168,       5139,      5423,           0,       5299,              ,                ,               
 668,              ,                ,               ,      6427,        3763,       4077,      5429,           0,       4348,              ,                ,               
 669,              ,                ,               ,      7349,        3883,       6070,      5437,           0,       3822,              ,                ,               
 670,              ,                ,               ,      7144,        3931,       4925,      5462,           0,       6202,              ,                ,               
 671,              ,                ,               ,      6704,        3751,       4607,      5468,           0,       4387,              ,                ,               
 672,              ,                ,               ,      7442,        4134,       6609,      5481,           0,       4481,              ,                ,               
 673,              ,                ,               ,      7193,        4632,       4665,      5495,           0,       5553,              ,                ,               
 674,              ,                ,               ,      7638,        5270,       5659,      5496,           0,       3869,              ,                ,               
 675,              ,                ,               ,      8312,        5945,       6998,      5513,           0,       4626,              ,                ,               
 676,              ,                ,               ,      7670,        5007,       5367,      5509,           0,       5440,              ,                ,               
 677,              ,                ,               ,      7329,        4502,       5146,      5525,           0,       4163,              ,                ,               
 678,              ,                ,               ,      7701,        4963,       6222,      5535,           0,       4138,              ,                ,               
 679,              ,                ,               ,      6620,        3844,       4767,      5531,           0,       5592,              ,                ,               
 680,              ,                ,               ,      7672,        4419,       5532,      5547,           0,       4482,              ,                ,               
 681,              ,                ,               ,      6497,        3561,       5643,      5558,           0,       4255,              ,                ,               
 682,              ,                ,               ,      7070,        3843,       4884,      5550,           0,       5162,              ,                ,               
 683,              ,                ,               ,      7401,        4425,       4640,      5602,           0,       4520,              ,                ,               
 684,              ,                ,               ,      6788,        3637,       4447,      5605,           0,       3972,              ,                ,               
 685,              ,                ,               ,      6535,        3696,       4732,      5619,           0,       3954,              ,                ,               
 686,              ,                ,               ,      7036,        4342,       5325,      5628,           0,       4531,              ,                ,               
